Record ID,Case ID,Landlord Name,Landlord Type,Decision Date,Category,Complaint Description,Finding Outcome,Source Decision ID
17,202533112,Octavia Housing,Housing Association,30 April 2026,Other,Move on medical grounds,No Maladministration,6
18,202533112,Octavia Housing,Housing Association,30 April 2026,Anti-Social Behaviour (ASB),Staff behaviour during noise complaint .,Reasonable Redress,6
19,202533112,Octavia Housing,Housing Association,30 April 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,6
20,202312721,Warwick District Council,Local Authority / ALMO or TMO,30 April 2026,Leaks & Water Ingress,The r esident’s concerns about the level and reasonableness of the service charges for heating and hot water,Outside Jurisdiction,7
21,202312721,Warwick District Council,Local Authority / ALMO or TMO,30 April 2026,Repairs & Maintenance,"The landlord’s handling of the resident’s requests for information about his service charges , the sign-up process, and request for an individual boiler",Maladministration,7
22,202312721,Warwick District Council,Local Authority / ALMO or TMO,30 April 2026,Complaint Handling,The handling of the complaint,Severe Maladministration,7
23,202517130,London & Quadrant Housing Trust,Housing Association,29 April 2026,Leaks & Water Ingress,The landlord’s handling of repairs after a burst pipe.,Maladministration,8
24,202321386,Notting Hill Genesis,Housing Association,29 April 2026,Other,The decision not to pay the resident compensation,Maladministration,9
25,202424705,Paragon Asra Housing Limited,Housing Association,29 April 2026,Damp & Mould,Reports of a leak causing damp and mould at the property.,Maladministration,10
26,202424705,Paragon Asra Housing Limited,Housing Association,29 April 2026,Complaint Handling,The handling of the complaint,Service Failure,10
27,202316026,London Borough of Hammersmith and Fulham,Local Authority / ALMO or TMO,21 April 2026,Leaks & Water Ingress,"How the landlord handled the resident’s reports of a leak , decorative damage , and a faulty carbon monoxide alarm",Outside Jurisdiction,11
28,202316026,London Borough of Hammersmith and Fulham,Local Authority / ALMO or TMO,21 April 2026,Other,How the landlord handled the resident’s request to pause upcoming repairs,Service Failure,11
29,202316026,London Borough of Hammersmith and Fulham,Local Authority / ALMO or TMO,21 April 2026,Complaint Handling,The handling of the complaint,Service Failure,11
30,202346688,Metropolitan Thames Valley Housing (MTV),Housing Association,31 March 2026,Complaint Handling,The handling of the resident’s reports of flooding to her balcony and the subsequent repairs,Maladministration,12
31,202346688,Metropolitan Thames Valley Housing (MTV),Housing Association,31 March 2026,Complaint Handling,The handling of the complaint,Service Failure,12
32,202403318,Onward Homes Limited,Housing Association,31 March 2026,Damp & Mould,"Reports of roof leaks , damp and mould",Reasonable Redress,13
33,202403318,Onward Homes Limited,Housing Association,31 March 2026,Other,,Reasonable Redress,13
34,202519986,The Guinness Partnership Limited,Housing Association,31 March 2026,Anti-Social Behaviour (ASB),ASB and requests for support.,Service Failure,14
35,202519986,The Guinness Partnership Limited,Housing Association,31 March 2026,Other,Housing officer’s conduct,No Maladministration,14
36,202519986,The Guinness Partnership Limited,Housing Association,31 March 2026,Other,Unannounced repairs visits,Service Failure,14
37,202519986,The Guinness Partnership Limited,Housing Association,31 March 2026,Complaint Handling,Complaint handling,No Maladministration,14
38,202519986,The Guinness Partnership Limited,Housing Association,31 March 2026,Other,Failings in healthcare and safeguarding,Outside Jurisdiction,14
39,202402399,London Borough of Enfield,Local Authority / ALMO or TMO,27 March 2026,Other,Concern about the removal of CCTV and motion sensor spotlight,No Maladministration,15
40,202402399,London Borough of Enfield,Local Authority / ALMO or TMO,27 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,15
41,202512026,Oxford City Council,Local Authority / ALMO or TMO,27 March 2026,Anti-Social Behaviour (ASB),How the landlord handled the resident’s reports of ASB,Service Failure,16
42,202512026,Oxford City Council,Local Authority / ALMO or TMO,27 March 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,16
43,202406793,The Riverside Group Limited,Housing Association,27 March 2026,Complaint Handling,The landlord’s handling of kitchen repairs,Service Failure,17
44,202406793,The Riverside Group Limited,Housing Association,27 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,17
45,202347611,Places for People Group Limited,Housing Association,26 March 2026,Complaint Handling,The landlord’s handling of the resident’s reports of pests and mites.,Service Failure,18
46,202347611,Places for People Group Limited,Housing Association,26 March 2026,Complaint Handling,The handling of the complaint,Maladministration,18
47,202337916,Royal Borough Of Greenwich,Local Authority / ALMO or TMO,26 March 2026,Damp & Mould,Reports of damp and mould.,Maladministration,19
48,202337916,Royal Borough Of Greenwich,Local Authority / ALMO or TMO,26 March 2026,Complaint Handling,Response to the resident’s complaint.,Service Failure,19
49,202509212,Paragon Asra Housing Limited,Housing Association,25 March 2026,Leaks & Water Ingress,Reports of a leak from the heating system,Maladministration,20
50,202509212,Paragon Asra Housing Limited,Housing Association,25 March 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,20
51,202513966,GreenSquareAccord Limited,Housing Association,24 March 2026,Complaint Handling,T he landlord’s handling of the request to change the tenancy agreement,Reasonable Redress,21
52,202513966,GreenSquareAccord Limited,Housing Association,24 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,21
53,202530774,Anchor Hanover Group,Housing Association,23 March 2026,Other,Requests for repairs or adaptations to automatic doors,Severe Maladministration,22
54,202530774,Anchor Hanover Group,Housing Association,23 March 2026,Complaint Handling,The handling of the complaint,Maladministration,22
55,202529663,West Northamptonshire Council,Local Authority / ALMO or TMO,20 March 2026,Damp & Mould,"The landlord’s handling of repairs, including damp and mould",Maladministration,23
56,202529663,West Northamptonshire Council,Local Authority / ALMO or TMO,20 March 2026,Complaint Handling,The handling of the complaint,Service Failure,23
57,202340712,London & Quadrant Housing Trust,Housing Association,16 March 2026,Repairs & Maintenance,The landlord’s response to the resident ’s reports of a faulty lift,Service Failure,24
58,202340712,London & Quadrant Housing Trust,Housing Association,16 March 2026,Complaint Handling,The handling of the complaint,Service Failure,24
59,202343567,A2Dominion Housing Group Limited,Housing Association,13 March 2026,Other,R equest for the resident to move her plant pots.,No Maladministration,25
60,202343567,A2Dominion Housing Group Limited,Housing Association,13 March 2026,Complaint Handling,The handling of the complaint,Service Failure,25
61,202523800,Barnsley Metropolitan Borough Council,Local Authority / ALMO or TMO,10 March 2026,Other,The resident’s disagreement with the landlord’s decision that the previously agreed works were no longer required,Reasonable Redress,26
62,202523800,Barnsley Metropolitan Borough Council,Local Authority / ALMO or TMO,10 March 2026,Anti-Social Behaviour (ASB),The resident’s reports of ASB,Maladministration,26
63,202523800,Barnsley Metropolitan Borough Council,Local Authority / ALMO or TMO,10 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,26
64,202302122,Lancaster City Council,Local Authority / ALMO or TMO,10 March 2026,Damp & Mould,Re sponse to re ports of damp and mould,Maladministration,27
65,202302122,Lancaster City Council,Local Authority / ALMO or TMO,10 March 2026,Complaint Handling,Handling of the associated complaint,Maladministration,27
66,202520155,Southampton City Council,Local Authority / ALMO or TMO,10 March 2026,Anti-Social Behaviour (ASB),Reports of ASB,Maladministration,28
67,202520155,Southampton City Council,Local Authority / ALMO or TMO,10 March 2026,Complaint Handling,The handling of the complaint,Service Failure,28
68,202329144,Southern Housing,Housing Association,10 March 2026,Complaint Handling,The complaint is about the landlord’s response to the resident’s reports of defective external lights on the estate,Service Failure,29
69,202329144,Southern Housing,Housing Association,10 March 2026,Complaint Handling,The handling of the complaint,Service Failure,29
70,202433636,Bury Metropolitan Borough Council,Local Authority / ALMO or TMO,9 March 2026,Other,R eports of structural concerns,Service Failure,30
71,202433636,Bury Metropolitan Borough Council,Local Authority / ALMO or TMO,9 March 2026,Complaint Handling,The landlord’s handling of the complaint,Service Failure,30
72,202329111,Cheshire West and Chester Council,Local Authority / ALMO or TMO,09 March 2026,Anti-Social Behaviour (ASB),The landlord ’ s handling of the resident ’ s reports of ASB,Maladministration,31
73,202329111,Cheshire West and Chester Council,Local Authority / ALMO or TMO,09 March 2026,Anti-Social Behaviour (ASB),The landlord ’ s handling of the resident ’ s reports of noise transfer,Maladministration,31
74,202329111,Cheshire West and Chester Council,Local Authority / ALMO or TMO,09 March 2026,Other,,Service Failure,31
75,202429084,Clarion Housing Association Limited,Housing Association,09 March 2026,Anti-Social Behaviour (ASB),The landlord’s response to the resident’s reports of ASB,Reasonable Redress,32
76,202429084,Clarion Housing Association Limited,Housing Association,09 March 2026,Complaint Handling,The landlord’s handling of the resident’s request for CCTV,No Maladministration,32
77,202429084,Clarion Housing Association Limited,Housing Association,09 March 2026,Complaint Handling,The landlord’s complaint handling,Service Failure,32
78,202348268,Leeds City Council,Local Authority / ALMO or TMO,9 March 2026,Complaint Handling,"T he landlord’s response to concerns about scaffolding, external repairs, discrimination, and whether it breached the Equality Act 2010",Reasonable Redress,33
79,202348268,Leeds City Council,Local Authority / ALMO or TMO,9 March 2026,Complaint Handling,The complaint handling,No Maladministration,33
80,202523428,Rooftop Housing Association Limited,Housing Association,9 March 2026,Damp & Mould,Concerns about damp and mould,Service Failure,34
81,202523428,Rooftop Housing Association Limited,Housing Association,9 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,34
82,202402691,Bristol City Council,Local Authority,6 March 2026,Damp & Mould,Reports of damp and mould,No Maladministration,35
83,202402691,Bristol City Council,Local Authority,6 March 2026,Complaint Handling,Complaint handling,Reasonable Redress,35
84,202422466,London Borough of Lambeth,Local Authority / ALMO or TMO,6 March 2026,Other,Report of fly tipping on the estate,Service Failure,36
85,202422466,London Borough of Lambeth,Local Authority / ALMO or TMO,6 March 2026,Complaint Handling,The handling of the complaint,Service Failure,36
86,202330877,Notting Hill Genesis,Housing Association,6 March 2026,Leaks & Water Ingress,The landlord’s handling of reports of a leak,Reasonable Redress,37
87,202330877,Notting Hill Genesis,Housing Association,6 March 2026,Complaint Handling,The landlord’s handling of temporary accommodation,Reasonable Redress,37
88,202330877,Notting Hill Genesis,Housing Association,6 March 2026,Complaint Handling,The landlord’s complaint handling,Maladministration,37
89,202411263,Progress Housing Association Limited,Housing Association,6 March 2026,Estate Management,Reports of issues in the garden and request to improve access,Maladministration,38
90,202411263,Progress Housing Association Limited,Housing Association,6 March 2026,Complaint Handling,Complaint handling,No Maladministration,38
91,202438617,Sheffield City Council,Local Authority / ALMO or TMO,6 March 2026,Anti-Social Behaviour (ASB),Involving police following ASB reports,No Maladministration,39
92,202438617,Sheffield City Council,Local Authority / ALMO or TMO,6 March 2026,Repairs & Maintenance,Reports of repair and maintenance delays,No Maladministration,39
93,202438617,Sheffield City Council,Local Authority / ALMO or TMO,6 March 2026,Other,Difficulty accessing the repairs call centre and poor customer service,No Maladministration,39
94,202438617,Sheffield City Council,Local Authority / ALMO or TMO,6 March 2026,Complaint Handling,General complaint handling,No Maladministration,39
95,202316771,Stonewater Limited,Housing Association,6 March 2026,Repairs & Maintenance,The landlord’s handling of window repairs,Maladministration,40
96,202316771,Stonewater Limited,Housing Association,6 March 2026,Repairs & Maintenance,The landlord’s handling of door repair s,Maladministration,40
97,202316771,Stonewater Limited,Housing Association,6 March 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,40
98,202302274,The Guinness Partnership Limited,Housing Association,6 March 2026,Damp & Mould,"The handling of the resident’s reports of a leak , damp, and mould",Maladministration,41
99,202302274,The Guinness Partnership Limited,Housing Association,6 March 2026,Other,,Service Failure,41
100,202525292,Clarion Housing Association Limited,Housing Association,5 March 2026,Pest Control,Response to the resident’s reports of a rat infestation,Maladministration,42
101,202525292,Clarion Housing Association Limited,Housing Association,5 March 2026,Complaint Handling,The handling of the complaint,Maladministration,42
102,202337077,Hyde Housing Association Limited,Housing Association,5 March 2026,Damp & Mould,"The landlord’s handling of the resident’s reports of multiple repairs, including the roo f , electrics, bathroom, and damp and mould",Reasonable Redress,43
103,202337077,Hyde Housing Association Limited,Housing Association,5 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,43
104,202520268,London & Quadrant Housing Trust,Housing Association,5 March 2026,Leaks & Water Ingress,The landlord’s handling of the resident’s report of a leak in his bedroom,Maladministration,44
105,202520268,London & Quadrant Housing Trust,Housing Association,5 March 2026,Other,,No Maladministration,44
106,202423504,London & Quadrant Housing Trust,Housing Association,5 March 2026,Damp & Mould,The landlord’s handling of damp and mould and repairs .,Maladministration,45
107,202423504,London & Quadrant Housing Trust,Housing Association,5 March 2026,Complaint Handling,The landlord’s handling of the complaint .,Service Failure,45
108,202405037,London Borough of Camden Council,Local Authority / ALMO or TMO,5 March 2026,Complaint Handling,The handling of a refund of service charges and electricity costs,Maladministration,46
109,202405037,London Borough of Camden Council,Local Authority / ALMO or TMO,5 March 2026,Complaint Handling,The handling of the complaint,Maladministration,46
110,202346846,Peabody Trust,Housing Association,5 March 2026,Repairs & Maintenance,The bathroom floor repair,Reasonable Redress,47
111,202346846,Peabody Trust,Housing Association,5 March 2026,Complaint Handling,The landlord’s complaint handling,Reasonable Redress,47
112,202513488,Places for People Group Limited,Housing Association,5 March 2026,Damp & Mould,"The landlord’s handling of the reported damp, mould and associated damage.",Reasonable Redress,48
113,202513488,Places for People Group Limited,Housing Association,5 March 2026,Estate Management,The landlord’s handling of reports the garden fencing was poor quality.,No Maladministration,48
114,202513488,Places for People Group Limited,Housing Association,5 March 2026,Pest Control,The landlord’s handling of a reported pest infestation.,No Maladministration,48
115,202513488,Places for People Group Limited,Housing Association,5 March 2026,Complaint Handling,The landlord’s handling of the complaint,Service Failure,48
116,202336319,Sanctuary Housing Association,Housing Association,5 March 2026,Estate Management,Request for a drop kerb and disabled parking bay.,Reasonable Redress,49
117,202336319,Sanctuary Housing Association,Housing Association,5 March 2026,Other,Request for new windows,Reasonable Redress,49
118,202401172,The Guinness Partnership Limited,Housing Association,5 March 2026,Damp & Mould,The landlord’s response to the resident’s reports of damp and mould,Maladministration,50
119,202401172,The Guinness Partnership Limited,Housing Association,5 March 2026,Other,,Maladministration,50
120,202333693,Hyde Housing Association Limited,Housing Association,4 March 2026,Complaint Handling,The landlord’s response to the resident’s concern about paint it used,Maladministration,51
121,202333693,Hyde Housing Association Limited,Housing Association,4 March 2026,Complaint Handling,The handling of the complaint,Maladministration,51
122,202416740,London & Quadrant Housing Trust,Housing Association,4 March 2026,Rehousing & Allocations,The resident’s transfer request,Service Failure,52
123,202416740,London & Quadrant Housing Trust,Housing Association,4 March 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,52
124,202324675,London Borough of Camden Council,Local Authority / ALMO or TMO,4 March 2026,Repairs & Maintenance,The landlord’s handling of the heating works,Service Failure,53
125,202324675,London Borough of Camden Council,Local Authority / ALMO or TMO,4 March 2026,Complaint Handling,The landlord’s response to its contractor ’ s conduct,No Maladministration,53
126,202324675,London Borough of Camden Council,Local Authority / ALMO or TMO,4 March 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,53
127,202318986,Soha Housing Limited,Housing Association,4 March 2026,Other,The increase i n service charges.,Outside Jurisdiction,54
128,202318986,Soha Housing Limited,Housing Association,4 March 2026,Estate Management,The resident’s report that the landlord failed to adequately maintain communal areas.,No Maladministration,54
129,202318986,Soha Housing Limited,Housing Association,4 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,54
130,202345578,The Guinness Partnership Limited,Housing Association,4 March 2026,Complaint Handling,The handling of the applicant ’s housing application,Service Failure,55
131,202345578,The Guinness Partnership Limited,Housing Association,4 March 2026,Complaint Handling,handling,No Maladministration,55
132,202347389,Torus62 Limited,Housing Association,4 March 2026,Leaks & Water Ingress,Reports of a leak and damage to the resident’s belongings,Service Failure,56
133,202347389,Torus62 Limited,Housing Association,4 March 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,56
134,202409459,Tower Hamlets Community Housing,Housing Association,4 March 2026,Anti-Social Behaviour (ASB),The landlord’s response to the resident’s reports of ASB,Maladministration,57
135,202409459,Tower Hamlets Community Housing,Housing Association,4 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,57
136,202332631,A2Dominion Housing Group Limited,Housing Association,3 March 2026,Complaint Handling,The landlord’s handling of the resident’s c oncerns about the standard of its gardening service,No Maladministration,58
137,202332631,A2Dominion Housing Group Limited,Housing Association,3 March 2026,Complaint Handling,The handling of the complaint,Service Failure,58
138,202411044,Norwich City Council,Local Authority / ALMO or TMO,3 March 2026,Other,C hang e of property energy supplier,Service Failure,59
139,202411044,Norwich City Council,Local Authority / ALMO or TMO,3 March 2026,Complaint Handling,The handling of the complaint,No Maladministration,59
140,202532594,Sovereign Network Group,Housing Association,3 March 2026,Other,R eports of damaged personal items and flooring,No Maladministration,60
141,202532594,Sovereign Network Group,Housing Association,3 March 2026,Complaint Handling,The handling of the complaint,Service Failure,60
142,202526330,Octavia Housing,Housing Association,2 March 2026,Other,How the landlord s ecured the resident’s property and managed access after a fire,Reasonable Redress,61
143,202526330,Octavia Housing,Housing Association,2 March 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,61
144,202530773,Clarion Housing Association Limited,Housing Association,27 February 2026,Damp & Mould,The landlord’s response to the resident’s reports of damp and mould in her home,Maladministration,64
145,202530773,Clarion Housing Association Limited,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,64
146,202524178,GreenSquareAccord Limited,Housing Association,27 February 2026,Pest Control,The landlord’s handling of the resident’s report of mice in the property,Maladministration,66
147,202524178,GreenSquareAccord Limited,Housing Association,27 February 2026,Repairs & Maintenance,The landlord’s handling of back door repairs,Service Failure,66
148,202524178,GreenSquareAccord Limited,Housing Association,27 February 2026,Rehousing & Allocations,The landlord’s handling of the resident’s request for a management transfer,No Maladministration,66
149,202524178,GreenSquareAccord Limited,Housing Association,27 February 2026,Complaint Handling,The landlord’s handling of the resident’s request for a new kitchen,Reasonable Redress,66
150,202524178,GreenSquareAccord Limited,Housing Association,27 February 2026,Complaint Handling,The landlord’s handling of repairs ordered as part of a disrepair claim,Reasonable Redress,66
151,202524178,GreenSquareAccord Limited,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,66
152,202314832,Hyde Housing Association Limited,Housing Association,27 February 2026,Anti-Social Behaviour (ASB),Reports of ASB,Maladministration,67
153,202314832,Hyde Housing Association Limited,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,67
154,202409286,Incommunities Limited,Housing Association,27 February 2026,Anti-Social Behaviour (ASB),The resident’s ASB reports,Maladministration,68
155,202409286,Incommunities Limited,Housing Association,27 February 2026,Rehousing & Allocations,The resident’s rehousing request,No Maladministration,68
156,202409286,Incommunities Limited,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,Service Failure,68
157,202417059,London & Quadrant Housing Trust,Housing Association,27 February 2026,Other,"The resident’s concerns about the condition of the property, and the associated repairs",Maladministration,69
158,202417059,London & Quadrant Housing Trust,Housing Association,27 February 2026,Other,The resident’s concerns about staff conduct,No Maladministration,69
159,202417059,London & Quadrant Housing Trust,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,Service Failure,69
160,202313958,London & Quadrant Housing Trust,Housing Association,27 February 2026,Other,R esident’s request to increase the size of the bedroom,Maladministration,71
161,202341562,London Borough of Barking and Dagenham,Local Authority,27 February 2026,Other,Concerns for repairing the boundary fence,Maladministration,72
162,202341562,London Borough of Barking and Dagenham,Local Authority,27 February 2026,Complaint Handling,The handling of the complaint,Maladministration,72
163,202516776,London Borough of Camden Council,Local Authority / ALMO or TMO,27 February 2026,Other,Reports about staff conduct,Service Failure,73
164,202516776,London Borough of Camden Council,Local Authority / ALMO or TMO,27 February 2026,Complaint Handling,The handling of the complaint,Service Failure,73
165,202527094,London Borough of Camden Council,Local Authority,27 February 2026,Other,Reports of outstanding repairs and structural issues with her property,Service Failure,74
166,202527094,London Borough of Camden Council,Local Authority,27 February 2026,Complaint Handling,Complaint handling,Service Failure,74
167,202316982,London Borough of Harrow,Local Authority,27 February 2026,Complaint Handling,Handling of the resident’s concerns about proposed improvement works,Maladministration,75
168,202316982,London Borough of Harrow,Local Authority,27 February 2026,Complaint Handling,The handling of the complaint,Maladministration,75
169,202334444,London Borough of Islington,Local Authority,27 February 2026,Damp & Mould,Damp and mould,Reasonable Redress,76
170,202334444,London Borough of Islington,Local Authority,27 February 2026,Repairs & Maintenance,Heating issues,Reasonable Redress,76
171,202334444,London Borough of Islington,Local Authority,27 February 2026,Complaint Handling,Complaint handling,Service Failure,76
172,202527711,London Borough of Lewisham,Local Authority / ALMO or TMO,27 February 2026,Damp & Mould,The landlord’s response to the resident’s reports of damp and mould .,No Maladministration,77
173,202527711,London Borough of Lewisham,Local Authority / ALMO or TMO,27 February 2026,Complaint Handling,The landlord’s response to the resident’s request for compensation.,No Maladministration,77
174,202527711,London Borough of Lewisham,Local Authority / ALMO or TMO,27 February 2026,Complaint Handling,The landlord’s response to the resident’s concerns regarding its record keeping.,No Maladministration,77
175,202527711,London Borough of Lewisham,Local Authority / ALMO or TMO,27 February 2026,Complaint Handling,The managing agent’s handling of the resident’s complaint.,Maladministration,77
176,202233381,Metropolitan Thames Valley Housing (MTV),Housing Association,27 February 2026,Anti-Social Behaviour (ASB),ASB,No Maladministration,78
177,202526732,Moat Homes Limited,Housing Association,27 February 2026,Repairs & Maintenance,Reports of roof leaks and subsequent repairs,Reasonable Redress,79
178,202526732,Moat Homes Limited,Housing Association,27 February 2026,Complaint Handling,The complaint,No Maladministration,79
179,202329232,North Kesteven District Council,Local Authority / ALMO or TMO,27 February 2026,Other,Solar Panels,No Maladministration,80
180,202329232,North Kesteven District Council,Local Authority / ALMO or TMO,27 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,80
181,202528890,Peabody Trust,Housing Association,27 February 2026,Leaks & Water Ingress,A leak in the property and the associated repairs .,Maladministration,81
182,202528890,Peabody Trust,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,Service Failure,81
183,202407584,Places for People Group Limited,Housing Association,27 February 2026,Repairs & Maintenance,Reports of poor grounds maintenance and the associated charges,Service Failure,82
184,202407584,Places for People Group Limited,Housing Association,27 February 2026,Complaint Handling,T he complaint,Reasonable Redress,82
185,202452495,Sanctuary Housing Association,Housing Association,27 February 2026,Other,The resident’s reports about the condition of the property when she moved in,Maladministration,83
186,202452495,Sanctuary Housing Association,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,Service Failure,83
187,202214261,Southern Housing,Housing Association,27 February 2026,Anti-Social Behaviour (ASB),Handling of the resident’s reports of ASB,Maladministration,84
188,202214261,Southern Housing,Housing Association,27 February 2026,Complaint Handling,H andling of the complaint,Maladministration,84
189,202433447,Southern Housing,Housing Association,27 February 2026,Estate Management,Repairs to the communal gate and lock,Maladministration,85
190,202433447,Southern Housing,Housing Association,27 February 2026,Complaint Handling,Complaint handling,Service Failure,85
191,202507149,Southern Housing,Housing Association,27 February 2026,Damp & Mould,Reports of damp and mould,Maladministration,86
192,202507149,Southern Housing,Housing Association,27 February 2026,Complaint Handling,Complaint handling,Reasonable Redress,86
193,202516755,Southern Housing,Housing Association,27 February 2026,Estate Management,The handling of major works to the permanent home and communal areas,Maladministration,87
194,202516755,Southern Housing,Housing Association,27 February 2026,Complaint Handling,The handling of concerns about the suitability of temporary accommodation,Maladministration,87
195,202516755,Southern Housing,Housing Association,27 February 2026,Complaint Handling,The handling of repairs to temporary accommodation,Maladministration,87
196,202516755,Southern Housing,Housing Association,27 February 2026,Repairs & Maintenance,The handling of concerns about moving the boiler,No Maladministration,87
197,202516755,Southern Housing,Housing Association,27 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,87
198,202307883,Stonewater Limited,Housing Association,27 February 2026,Other,"The landlord’s management of the building , estate and the associated charges",Service Failure,88
199,202307883,Stonewater Limited,Housing Association,27 February 2026,Complaint Handling,The landlord’s complaint handling,Service Failure,88
200,202228112,West Northamptonshire Council,Local,27 February 2026,Rehousing & Allocations,How the landlord dealt with the resident’s transfer to and request for emergency accommodation,Outside Jurisdiction,90
201,202228112,West Northamptonshire Council,Local,27 February 2026,Other,How the landlord dealt with the resident’s reports that it did not protect her personal information,Outside Jurisdiction,90
202,202228112,West Northamptonshire Council,Local,27 February 2026,Other,How the landlord dealt with the resident’s SAR,Outside Jurisdiction,90
203,202228112,West Northamptonshire Council,Local,27 February 2026,Other,How the landlord dealt with the resident’s reports of a data breach,Outside Jurisdiction,90
204,202228112,West Northamptonshire Council,Local,27 February 2026,Other,How the landlord dealt with reports about the condition of the property the resident moved to,Maladministration,90
205,202228112,West Northamptonshire Council,Local,27 February 2026,Other,How the landlord dealt with the resident’s request to run a business,No Maladministration,90
206,202228112,West Northamptonshire Council,Local,27 February 2026,Complaint Handling,The handling of the complaint,Maladministration,90
207,202347827,Woking Borough Council,Local Authority / ALMO or TMO,27 February 2026,Anti-Social Behaviour (ASB),The handling of ASB reports.,Maladministration,91
208,202347827,Woking Borough Council,Local Authority / ALMO or TMO,27 February 2026,Other,A request for a fire safety check,Maladministration,91
209,202347827,Woking Borough Council,Local Authority / ALMO or TMO,27 February 2026,Repairs & Maintenance,Concerns about window locks and keys,Service Failure,91
210,202347827,Woking Borough Council,Local Authority / ALMO or TMO,27 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,91
211,202520334,Abri Group Limited,Housing Association,26 February 2026,Complaint Handling,The landlord’s handling of the re presentative ’s concerns that the resident was not eligible to buy the property.,Service Failure,92
212,202520334,Abri Group Limited,Housing Association,26 February 2026,Complaint Handling,The landlord’s handling of the representative’s buy back application .,Service Failure,92
213,202527811,City of Lincoln Council,Local Authority / ALMO or TMO,26 February 2026,Damp & Mould,"In the landlord’s response to the resident’s reports of damp and mould, and the related repairs.",Severe Maladministration,93
214,202527811,City of Lincoln Council,Local Authority / ALMO or TMO,26 February 2026,Complaint Handling,The handling of the complaint,Maladministration,93
215,202516122,GreenSquareAccord Limited,Housing Association,26 February 2026,Anti-Social Behaviour (ASB),The landlord’s handling of the resident’s reports of ASB by neighbour s,Reasonable Redress,94
